Potravina;Bílkoviny;Uhlohydráty;Tuky;Energie
rýže hnědá dlouhozrná vařená;2,58;22,95;0,9;111
rýže loupaná suchá;8,77;76,49;0,44;349,6
rýže neloupaná (Natural);7,1;76,8;1,9;323
rýžový nákyp;3,43;25,11;3,4;142,8
ředkev;1,49;6,88;0,12;27,9
ředkvička;1,14;3,91;0,14;17,5
řepa červená;1,8;10,6;0,1;48,1
řízek vepřový smažený;19,5;23,5;36,4;504,5
sádlo husí;1,1;0,1;83,7;757
sádlo škvařené - průměr;0,3;0;81;736,8
salám berlínský;16;1,6;38,3;415,2
salám boloňský;12,89;1,82;25,5;288,5
salám brněnský;13,45;0,1;26,57;295
salám český;12,5;2,1;23,5;337,3
salám drůbeží;18,3;1,27;8,89;162
salám drůbeží točený;14,34;1,07;25,1;287
salám gothajský;10,81;0,1;37,98;434
salám jemný;11,83;0,1;23,98;263
salám jemný z kuřecího masa;20,16;1,55;17,59;185
salám Junior;13,2;0;24,3;272
salám kabanos;14,8;2,1;14,8;205,3
salám koňský;14,7;3,4;6,1;127,7
salám krůtí měkký;17,19;0,72;12,76;196
salám lovecký;27,45;0,2;35,36;451
salám měkký;14,31;2,37;20,11;247,9
salám metský;17,6;0,1;31,1;358,6
salám paprikový;16,4;0,2;34,2;376,6
salám pařížský;10,68;0,2;30,12;310
salám Poličan;26,89;0,2;36,88;440,2
salám pražský;12,8;2,1;21;258,4
salám šunkový;17,97;0,1;14,58;203,5
salám točený;14,5;2,1;18,6;230,1
salám turistický trvanlivý;19,44;0,1;36,69;407
salám uherský;23,3;0;41;463,1
salám Vysočina;18,1;0;40;434
salát bramborový;2,6;15,6;1,9;87,6
salát bramborový s majonézou;1,9;12;17,5;211,2
salát čočkový;6,4;17,2;7,9;161,7
salát Hanácký;1,4;13,5;10,2;148,8
salát hlávkový;1,33;2,51;0,28;16,8
salát krabí;12;1,2;18,6;220,3
salát ledový;0,7;1,9;0,3;12,7
salát okurkový;0,99;5,22;0,14;26
salát pochoutkový;8,1;2,3;33,4;339,5
salát polníček;1,8;1,4;0,3;16,3
salát rybí s majonézou;21,3;0;22,2;285,4
salát slanečkový;7,7;11,2;6,1;130,1
salát sojový s majonézou;10,3;7,5;22,8;276,6
salát sýrový Holandský;22,5;0,9;7,5;131,6
salát vajíčkový;5,1;5,5;17,6;198,3
salát vlašský;4,82;11,74;10,38;153,5
sardelová pasta;6,54;0,06;23,88;241
sardinka obecná;19,71;0,1;11,01;130
sardinky ruské;17,49;4,5;4,91;161
sardinky v oleji;22,58;1,23;18,71;252
sekaná domácí;17,53;6,25;18,98;266,6
sekaná drůbeží domácí;10,89;9,7;25,36;311,2
semínka lněná;22;13;40;485,4
semínka slunečnicová;27;15;49;582,5
sepie;13,3;0;0,8;68,2
sezamová semínka;21,97;14,9;53,23;616
sherry suché;0,2;0,2;0;81,6
slanina anglická;10,54;0,08;40,01;402,46
slanina vepřová;3,5;0,1;84,37;773,56
sleď baltický marinovaný;15,78;0,18;9,54;146,7
sleď obyčejný;11,68;0,07;8,26;12,7
sleď v rajčatové omáčce;16,2;0,5;12,5;180
sleď - uzenáč;22,2;0;12,9;211
sleď - zavináč;19,8;0;14,8;217,5
slepice syrová (Guinejská) - pouze maso;20,64;0;2,47;110
slezina;16,9;1;4;111,2
slivovice 40%;0;0;0;221,3
slunečnice - semena;22,47;18,63;49;605
smetana 33% - (šlehačka);2,16;3,31;33,7;325
smetana 6% tuku (do kávy);3,5;4,5;6;86
smetana konzumní (12% tuku);3,1;4,2;12;137
smetana pochoutková (16% tuku);2,91;4;16;171
smetana šlehačka light;2,5;8;17,8;200,7
smetana zakysaná 11%;2,9;4,2;11;127
smetana zakysaná 15%;2,5;4,5;15;164,3
sójová omáčka;7,5;6,52;0,08;55
sójové boby;34;30,8;18,3;406,7
sójové boby vařené;11;10,8;5,7;139
sójové klíčky;1,5;1,7;0,1;12,9
sójové maso neochucené;45;20;2;282,1
sójové mléko;2,9;3,9;1,9;44
Solamyl;0,4;80;0,4;322,5
srdce hovězí;16,87;0,48;6,32;122,8
srdce vepřové;16,4;0,4;4,6;112
strouhanka;11;78,1;1,4;373,4
suchar dietní;10,99;72;3,87;373,5
sumec;15,3;0;11,3;163,1
sušenky Albert;5,9;80,9;8,4;381,6
sušenky Amarant;7,1;61,6;18,1;446,2
sušenky Amarant kakaové;7,8;71,2;16,5;465,1
sušenky Amarant vanilkové;7,4;71,1;17,8;474,4
sušenky BeBe (Opavia);6,5;77,5;11,6;409,1
sušenky Bravo - průměr;5,6;54,6;33,8;522,7
sušenky Dalila;7,6;52,5;33,6;532,3
sušenky Delissa - průměr;8,2;55,9;31,6;540
sušenky Derby kakaové;6,3;63,5;23,1;448,6
sušenky DIA kokosové;7,6;58,6;22,6;464,1
sušenky DIA Párty;9,6;56;27,1;454,5
sušenky Disco - průměr;5,5;70,5;19,8;440,2
sušenky Dukla - kakaové řezy;5,3;58,4;31,8;496,4
sušenky Falco desert ořech;5;60;20;440,2
sušenky Fidela;8,4;56,9;28,2;503,6
sušenky Fidorky;2,6;64,6;24;491,9
sušenky Florenta;8,5;56,7;29,6;504,8
sušenky Floriana;6,2;72,4;17,5;436,6
sušenky Horalky - průměr;8,9;54,5;31,6;513,2
sušenky kakaové věnečky;6,9;59,6;25,5;459,3
sušenky KOKA kokosové;6,4;61,5;23,9;439
sušenky Kolonáda - oříško-čokoládové;7,7;57;29,9;504,8
sušenky Kolonáda - trojhránky kakaové;4,9;58,1;31,8;516,7
sušenky Lázeňské oplatky;5,3;72,3;11,1;403,6
sušenky Lucie kakaové;6,7;62,8;25,4;451
sušenky Lucie Via Dia;8,8;47,2;35,4;501,2
sušenky máslové - CLUB;8,11;70,4;16,2;458,4
sušenky máslové (CLUB);8,11;70,4;16,2;458,4
sušenky Miňonky kakaové;8,1;53,4;31,3;515,6
sušenky polomáčené;6,7;66,2;21,6;464,1
sušenky s kakaovou náplní - Romanca;5,15;65,11;23,56;458,4
sušenky slané;8;47;38;554,3
sušenky věnečky arašídové;9;65,5;21,2;478,7
sušenky Zlaté - lískový ořech;5,7;58,6;28,6;496,4
sušenky žloutkové obalované;8,5;24;20,4;495,4
sušnky Zlaté - vanilkové;6,6;59,4;27;492,8
sýr Balkánský;11,3;1;20,4;233,5
sýr Brynza (40% t. v s.);20,5;2,5;22,6;295,3
sýr Brynza (50% t. v s.);19,1;1,6;23,8;297,8
sýr Camembert (30%  t. v s.);22,8;0;12,8;216,3
sýr Camembert (45%  t. v s.);21;0;21,8;285,2
sýr cottage (1% tuku);12,39;2,72;1,02;72,4
sýr cottage (2% tuku);13,74;3,63;1,93;89,7
sýr čedar;24,9;1,28;33,14;403
sýr čedar - tavený;16,69;3,09;22,81;284
sýr dezertní 20%;24,3;2,2;8;182
sýr dezertní 40%;18,3;2,1;17,2;236
sýr eidam 20% t. v s.;30;3;10;215,3
sýr eidam cihla - výběr 60%;18,8;1;36;403
sýr eidam cihla 30%;30,3;1,4;15,15;263
sýr eidam cihla 40%;28,5;1;22,4;320
sýr eidam cihla 45%;26;1;26,1;343
sýr eidam salámový 40%;28;1;22;314
sýr eidam uzený 45%;26;1;26,1;343
sýr ementál (Primátor);28,02;2,31;29,34;387
sýr ementál 45% t. v s.;28,9;0;30;387,3
sýr Geramont;16,5;2;31,5;363,6
sýr Gervais;6,3;4,8;21;232
sýr Gouda;24,94;2,22;27,44;356,3
sýr Gouda 30%;28,6;1,95;15,15;258
sýr Gouda 45%;26;1;26,1;343
sýr Hermelín (Camember, Encián);20,76;1,57;22,84;298
sýr játrový;13,86;1,25;31,25;359
sýr jihočeský 40%;22;1,8;18;258
sýr kapiový 50% t. v s.;9;2;14;170,3
sýr kozí čerstvý;4,7;1,5;6,1;79
sýr krémový;12,4;1,8;15,63;193
sýr krkonošský pivní;18,4;1,6;25;305
sýr lahůdkový tavený 70%;8;1;35;351
sýr Laktík;14,1;2,3;12,7;183,2
sýr Lučina;13,1;1,9;15,8;306,2
sýr Lučina - termizovaný;11;1;17;291
sýr Moravský blok 50%;25,2;2,3;31,5;393
sýr Moravský bochník 45%;24,8;2;26,1;342
sýr Mortadela;14,62;0,056;23,13;277
sýr mozzarella;19,24;2,22;21,6;281,4
sýr Niva (Rokfór);21,29;1,47;32,26;381,2
sýr Niva 50% - tavený;15,2;1,4;22,5;269
sýr Olomoucké tvarůžky;30,3;2;0,8;134
sýr Oštiepok;21,62;3,3;30,06;366
sýr ovčí tvrdý;27,05;0,5;32,26;400,4
sýr ovčí ve slaném nálevu;20,18;1,31;26,6;325,3
sýr Parmezán;34,87;0,068;26,33;391
sýr plátkový balený;18;4;22;286,1
sýr plátkový light;22;4;9;184,9
sýr plátkový se šunkou;13;7;30;346,9
sýr Primátor 45% t. v s.;26,5;2,2;28;368,7
sýr Přimda - jemný přírodní;21,6;1,2;26;325
sýr Romadur 20%;23,6;2,5;8;176
sýr Romadur 40%;18,1;2,4;17,2;237
sýr smetanový 65%;12,1;0,103;26;286
sýr smetanový KIRI;9;2;33;336,8
sýr smetanový tavený 45%;15,9;1,2;18,39;231
sýr sójový TOFU;7,8;2,2;4,2;79
sýr Šumavský blok 45%;25,2;1;26,1;336
sýr tavený 30%-40% t. v s. - průměr;19,6;0,8;11,4;187,1
sýr tavený 40%-50% t. v s. - průměr;15,9;1,2;18;231,3
sýr tavený 50%-60% t. v s. - průměr;12,1;1;26;284,4
sýr tavený 60%-70% t. v s. - průměr;12,1;1;35;371,3
sýr tavený FIT;17;0;7;131,3
sýr tavený lipno s lososem - light (30% t. v s.);20;1;9,9;186,6
sýr tavený smetanový;9;2;33;336,8
sýr tavený šunkový;17,4;0,9;25,9;300,2
sýr Tylžský;27,7;1,54;26,22;302
šáteček s makovou náplní;8,49;55,33;13,67;377,9
šáteček s marmeládou;5,62;64,29;7,31;346,2
škeble;10,5;0;1,3;54,1
škrob kukuřičný;0,31;87,27;0,09;359,3
škrob rýžový;0,62;85,07;0,1;349,7
škvarky vepřové;15,5;0;75;742,1
šlehačka pařížská;2,75;12,24;32,55;352,21
šnek;16;0;1;73
špagety celozrnné suché;14,63;75,03;1,4;348
špagety celozrnné vařené;5,32;26,54;0,54;124
špagety suché;12,77;74,68;1,58;371
špagety vařené;4,77;28,34;0,67;141
špagety, makarony;12,5;75;1,2;354
špagety, makarony - vařené;4,2;26;0,5;126
špagety, makarony celozrnné;11;75,4;1,5;330,6
špenát;3,2;4,1;0,6;32,8
špenátový protlak;2;6,1;0,1;32,3
šproty v oleji;15,07;0,5;31,59;375
štika mořská syrová;19,25;0;0,69;88
štika obecná;11,23;0,06;0,51;49,8
štika v rajčatové omáčce;13,82;3,6;3,9;105,1
šunka drůbeží;22,91;0,25;3,13;117
šunka drůbeží PIKNIK;25,1;0,2;1,05;110,7
šunka dušená;17,64;1,39;9,1;156,5
šunka kuřecí;17,6;0;10,5;167
šunka kuřecí (Velkopavlovická);21,35;0,2;3,64;119
šunka kuřecí prsní;14;1,5;4;98,1
šunka Pizza;8;5;7;287,1
šunka s vyšším obsahem tuku;16,49;1,07;18,92;240,5
šunka uzená;16,36;0,1;21,47;259,01
šunka vepřová;16,14;0,78;12,47;179,7
šunkový salám;17,97;0,1;14,58;203,5
šunkový závitek v aspiku;9,05;3,04;9,12;131,8
švestky;0,71;14,65;0,25;53,97
švestky sušené;2,5;60,4;0,7;230,4
taliáni;20,9;0,1;32;371,9
tatranky;8,95;54,8;31,4;541
Tequila (38%);0;0;0;210,3
termix - průměr;11,5;15,7;11,3;203,3
termix banánový;11,08;17,15;12,16;221,4
těsto listové;5,73;36,07;28,71;423
těstoviny amarantové;11,4;74,3;0,9;332,8
těstoviny bezlepkové kukuřičné;7,5;84;2;394,7
těstoviny čtyřvaječné;11,13;72,58;2,84;367
těstoviny diabetické;30,4;55,3;1,36;359
těstoviny grahamové;13,26;68,05;3,72;393,5
těstoviny konzumní;10,9;73,3;10,9;364
těstoviny nevaječné;9,82;75,2;1,21;357,8
těstoviny pětivaječné;11,6;71,6;3,34;370
těstoviny sedmivaječné;12,3;70,2;4,13;374
těstoviny vařené (průměr);3,55;23,74;2,52;131,3
tlačenka drůbeží;18,49;0,13;11,94;177
tlačenka masová světlá;14,15;0,7;27,87;301
tlačenka tmavá lidová;14,88;0,1;28,03;317
tofu;11;1,5;3;54,5
topinambury;1,63;31,32;0,6;61
treska - filé;17,69;0,1;0,43;75,9
treska mražená;11,22;0,07;0,4;46,2
treska syrová;18,91;0;0,72;87
treska uzená;25,2;0;0,94;116
třešně;0,92;14,38;0,51;59,7
tuk Ceresoft;0;2;92,2;830,9
tuk Dukát jedlý;0,48;0,15;81,06;748,5
tuk Hera jedlý;0,2;0,32;80,13;754
tuk Juno jedlý;0,15;0,15;80,46;761
tuk Perla jedlý;0,08;0,13;84;825
tuk Perla pro teplou kuchyni;0,1;0,3;69;614,8
tuk Planta;0;0;100;904,3
tuk Stella;0,05;0,3;80;716,8
tuk Visa;3;4;78,3;704,8
tuk ztužený (100%);0;0;97,7;863,6
tuňák konzervovaný v oleji;26,52;0;8,08;186
tuňák konzervovaný ve vodě;23,62;0;2,96;128
tuňák light konzervovaný v oleji;29,13;0;8,21;198
tuňák light konzervovaný ve vodě;25,51;0;0,82;116
tuňák obecný;23,85;0,1;8,36;232
tuňák v oleji;25,51;0,3;19,44;278,2
tuňák v oleji a vlastní šťávě;19,9;0,1;11,6;184
tuřín;1,12;7,35;0,19;34
tvaroh jemný;17,5;4,2;2,5;109,1
tvaroh konzumní;17,59;3,88;4,53;131,1
tvaroh měkký nízkotučný;18,75;4,4;0,35;96
tvaroh ovocný (PM);10;12;0,3;92,1
tvaroh ovocný Prince;5,9;17,1;5;137,6
tvaroh speciál;13,7;3,2;12;175,6
tvaroh tučný;12,31;3,3;13,53;184
tvaroh tvrdý;28,6;6,2;0,9;153,1
tvaroh Vitalinea Danone;13,5;3,8;0,3;74,9
tvaroh Vitalinea ovocný;6,5;10;0,1;59,3
tvarohová rozhuda;10,7;3,8;0,8;66,3
tyčinka BeSlim průměr;10;59;15;399
tyčinka Café crip cappucino;11,3;68,7;11,7;412,9
tyčinka DELI s oříšky;4,4;68,4;20,7;452,1
tyčinka FIT GO - průměr;3,48;71,74;12,17;416
tyčinka Flint - kokos, likér;7;70;18;459,3
tyčinka FLY MISS - ořech, karamel;11,6;47,8;19,6;415,1
tyčinka Granko;6,2;54,2;33,2;544,3
tyčinka müsli - průměr;6,8;62,8;18,4;409,1
tyčinka Müsli Pro Diet;9,4;54,7;16;400,2
tyčinka Twiggy - průměr;9,5;49,2;21,9;438,8
tyčinka Twix;5,6;63,2;24,5;481,6
tykev;1,15;60,5;0,21;28,1
tykev - semena;18,13;13,17;34,04;432,8
tykev špagetová;0,6;8,3;0,1;26,6
úhoř říční;9,92;0,07;15,35;178,1
úhoř uzený;18,74;0,87;26,98;321,2
ústřice;9;4,8;1,2;66
uzenáč;15,8;0,2;5,9;117,7
vaječná hmota sušená;46,53;2,19;44,13;587
vaječné věnečky obalované;8,49;64,87;20,67;485
vaječný bílek slepičí;11,28;0,81;0,3;49
vaječný bílek slepičí sušený;81,95;5,6;1,4;353
vaječný žloutek pasterizovaný mražený;14,9;0;27,6;313
vaječný žloutek slepičí;16,3;0,69;32,09;359
vaječný žloutek sušený;31,7;2,1;59,3;666
vánočka máslová;7,2;60,8;10,1;368
vánočka tuková;7,3;60,9;8,6;349,3
vejce husí celé (čerstvé, syrové);13,87;1,35;13,27;185
vejce kachní celé (čerstvé, syrové);12,81;1,45;13,77;185
vejce krůtí celé;13,68;1,15;11,88;171
vejce slepičí;12,28;0,66;11,72;160
vejce slepičí - bílek syrový;10,52;1,03;0;50
vejce slepičí - sušený bílek;81,1;7,8;0;382
vejce slepičí (sušené celé);46;3;42;587,6
vejce slepičí (sušený bílek);84,1;6,2;0;384
vejce slepičí (sušený žloutek);30,5;1,3;60;679,4
vejce slepičí syrové (celé);12,49;1,22;10,02;149
vejce slepičí syrové (pouze bílek);11;0;0;48,1
vejce slepičí syrové (pouze žloutek);16,76;1,78;30,87;358
vejce slepičí vařené (celé);12,58;1,12;10,61;155
veka;8,4;60,1;1;289
veka tuková;8,94;53,89;4,04;293
vepřová játra dušená;16,16;7,65;11,08;193,2
vepřová kýta - libové maso;20,48;0;5,41;136
víno - sherry polosuché;0,1;3,7;0;117
víno - sherry sladké;0,3;6,9;0;135,9
víno - sherry suché;0,2;1,4;0;115,1
víno - Vermut sladký;0;15,9;0;151
víno - Vermut suchý;0,1;5,5;0;117,9
víno bílé;0,1;0,1;7,5;77
víno bílé přírodní;0,1;0,1;0;54,1
víno bílé přírodní sladké;0,2;5,9;0;94,3
víno červené;0,25;2,8;0,76;77
víno ovocné - průměr;0;20;0,3;110
víno šumivé (sekt);0,19;7,9;0,91;103
víno šumivé sladké 11%;0;11;0;107,2
víno šumivé suché 11%;0;3,5;0;75,1
višně;1;12,17;0,62;54,8
višně v čokoládě;3,2;56,9;13,1;342
vločky ovesné;13;57;7;351,9
vodnice;0,9;4,7;0,3;23,4
vývar z drůbežího masa;0,35;0,34;0,37;6
vývar z masa - průměr;0,23;0,15;0,2;3,3
whisky irská 45%;0;0;0;249,3
whisky skotská 43%;0;0;0;231,1
worchester;1,3;15,8;0,3;72,4
zákusek - indián;3;71;14;428,5
zákusek - kokoska;6,12;62,25;25,4;502,9
zákusek - košíčky linecké s ovocem;2,67;38,83;11,7;263,2
zákusek - kremrole;4,2;45;22;311
zákusek - laskonka;1,67;35,33;16;294,2
zákusek - roláda s krémem;6,4;53,9;17,4;394,7
zákusek - řezy punčové;5,3;48,7;15,7;358,1
zákusek - řezy žloutkové;3,57;38,86;18,9;334,7
zákusek - šáteček s tvarohovou náplní;5,83;63,17;13,5;397,8
zákusek - špička;8,83;62,33;15;421
zákusek - věnečky vaječné;4;33,8;13,4;276,6
závin jablečný;4;55,1;28,2;476,3
závin ořechový;5,4;62,5;14,2;397,8
závin s makovou náplní;8,7;55,6;14,5;393,2
zavináče;11,55;5,67;12,17;178,9
zeleninová směs - Country;3,2;1,3;0,3;57,9
zeleninová směs - Mochovská;4,2;11,2;0,1;63,4
zeleninová směs do polévky;2;6,1;0,1;32,3
zeleninová směs jarní mražená;3,58;9,61;0,33;49,2
zeleninová směs lahůdková;2,8;10,3;0,3;52,4
zeleninová směs pod svíčkovou;1,7;11,3;0,3;66,3
zeleninová směs s kukuřicí;3,9;15,7;0,5;80,1
zeleninová směs se žampiony;2,2;11,5;0,4;58,4
zelí - sterilizované;0,75;4,02;0,2;17,09
zelí bílé;1,46;5,4;0,26;25
zelí bílé sterilizované;1,23;6,07;0,17;21,8
zelí červené;1,39;6,12;0,26;27
zelí čínské (pak-choi);1,5;2,18;0,2;13
zelí čínské (pe-tsai);1,2;3,22;0,2;16
zelí kysané;1;4;0;14,8
zmrzlina polárkový dort - průměr;3,6;20,5;8,9;197,4
žampion polní;4,73;3,44;0,3;29,23
žampiony čerstvé;3,2;4,6;0,6;35,6
žampiony sterilizované;0,8;2,7;0,4;174,6
žampiony sterilizované;2,25;3;0,5;29,4
žemle tmavá;9,18;61,7;3,87;323
žemle tuková;8,3;59,9;2,9;304